title,imdb_id,poster_url,language,original_title,overview,release_date,tagline,length,rating,num_votes
Righteous Villains,tt10920190,https://image.tmdb.org/t/p/w500//jTUmpv5yrf91mXllwySJXIk2hKP.jpg,en,,"A modern day tale of good vs evil, secret societies, sorcery and Satan.",2020-12-01,"Before the Apocalypse, there will be war.",76,8.5,1622
Heima,tt1094594,https://image.tmdb.org/t/p/w500//tVJhQOYlfptuxWQHThhSF9K4vFb.jpg,en,,"Ethereal post-rock pioneers Sigur Rós play a string of impromptu gigs in their native Iceland after finishing a world tour in 2006. As they travel through the country, the band visits a wide variety of venues, from a large outdoor festival to a coffee shop.",2007-09-27,,97,8.5,7857
Dear Zachary: A Letter to a Son About His Father,tt1152758,https://image.tmdb.org/t/p/w500//3eVySWqBkaCDxatjDfBcMo8ceOl.jpg,en,,"In 2001, Andrew Bagby, a medical resident, is murdered not long after breaking up with his girlfriend. Soon after, when she announces she's pregnant, one of Andrew's many close friends, Kurt Kuenne, begins this film, a gift to the child.",2008-10-31,,95,8.5,33302
The Pinchcliffe Grand Prix,tt0073000,https://image.tmdb.org/t/p/w500//iWnG4MrdUcrJ3dhB2pvwQZjKXIR.jpg,no,Flåklypa Grand Prix,"100 miles north, a bit east and up, is Pinchcliffe, the home of bicycle repairman Reodor Felgen and his two assistants, Solan Gundersen and Ludvig. Sponsored by oil sheik Ben Redic Fy Fazan, they build the car ""Il Tempo Gigante"" to race against Reodor's former assistant Rudolf Blodstrupmoen, who has stolen one of Reodor's inventions to become a world racing champion.",1975-08-28,,88,8.5,12554
The Great Indian Kitchen,tt13299890,https://image.tmdb.org/t/p/w500//f6SDfxoU3l8hpe9tzzf8MyjOPHL.jpg,ml,മഹത്തായ ഭാരതീയ അടുക്കള,"After marriage, a woman struggles to be the submissive wife that her husband and his family expect her to be. The story follows her journey, as she changes herself and, even more so, changes the household.",2021-01-15,Mahathaya Bharathiya Adukkala,100,8.5,1924
Senna,tt1424432,https://image.tmdb.org/t/p/w500//nZbLCbRoP6iJq5sr8daHQzjnzFh.jpg,en,,"Senna's remarkable story, charting his physical and spiritual achievements on the track and off, his quest for perfection, and the mythical status he has since attained, is the subject of Senna, a documentary feature that spans the racing legend's years as an F1 driver, from his opening season in 1984 to his untimely death a decade later.",2010-10-07,The legend of the greatest driver who ever lived,106,8.5,64141
National Class Category Up to 785ccm,tt0079606,https://image.tmdb.org/t/p/w500//ves5WIpBR1KMoc6mSyBJ6DQliYd.jpg,sr,Национална класа до 785ccm,"One week in the life of Branimir Mitrovic ""Floyd"", a young rally driver from the National Class (up to 785 ccm), dreaming of promotion to the higher category. He lives a carefree life of a Belgrade dandy boy, neglecting his girlfriend, avoiding his draft calls, and refusing to deal with any life responsibility in general. The decisive race on Saturday is all he cares about.",1979-01-09,,105,8.5,3240
The Intouchables,tt1675434,https://image.tmdb.org/t/p/w500//ttx4GQl0azO6NJFWj4XNZCQOY7S.jpg,fr,Intouchables,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,2011-11-02,Sometimes you have to reach into someone else's world to find out what's missing in your own.,113,8.5,758903
The High,tt2044774,https://image.tmdb.org/t/p/w500//fQ3S9ESaaLc7zQvPwsuRvxJLMs2.jpg,ar,الكيف,As ethics is degraded in the Egyptian society; a chemist deceive his punk brother with a nonnarcotic drug that he created to prove that it's all delusional. So the punk tries to convince him to produce the substance for a greedy drug lord.,1985-09-16,,115,8.5,1739
The Elusive Summer of '68,tt0088338,https://image.tmdb.org/t/p/w500//f9h6MIgZTPUzbwNLVTHgk57T3kT.jpg,sr,Varljivo leto '68,"For the young man who lives in Serbian province town, the maturing coincides with the turbulent political events of the year 1968.",1984-01-30,,91,8.5,4904
